match_id,blue_top,blue_jg,blue_mid,blue_adc,blue_sup,red_top,red_jg,red_mid,red_adc,red_sup
EUW1_7619660887,Zaahen,Ekko,Gragas,Varus,Pyke,Jayce,Viego,Zoe,Taliyah,Janna
EUW1_7619568281,Ornn,Jayce,Ahri,Jhin,Neeko,Rumble,Rengar,Orianna,Ezreal,Nautilus
EUW1_7618704166,Zaahen,Diana,Cassiopeia,Ezreal,Rell,Varus,Zac,Yone,Mel,Pantheon
EUW1_7618641397,Zaahen,Khazix,Mel,Yunara,Pyke,Gwen,DrMundo,Cassiopeia,MissFortune,Zilean
EUW1_7618584472,Sion,Karthus,Syndra,MissFortune,Bard,Yone,Ekko,Velkoz,Ezreal,Pyke
EUW1_7618511552,Gwen,Jax,Syndra,Yasuo,Alistar,Zaahen,Belveth,Aurora,Karthus,Gragas
EUW1_7618454534,Zaahen,Diana,Yasuo,Sivir,Gragas,Gwen,Ivern,Renekton,Yunara,Alistar
EUW1_7618385316,Warwick,Rengar,Morgana,Yunara,Alistar,Zaahen,LeeSin,Malzahar,Sivir,Gragas
EUW1_7620442094,Zaahen,Qiyana,Aurora,Ziggs,Amumu,Rumble,MonkeyKing,Mel,Jhin,Rakan
EUW1_7620369119,Sylas,Qiyana,Ahri,MissFortune,Rell,Ambessa,Karthus,Quinn,Xayah,Bard
EUW1_7619904412,Jayce,Sylas,Ekko,Yunara,Janna,Yorick,LeeSin,Mel,Aurora,Nautilus
EUW1_7619859543,Sion,Malphite,Quinn,Draven,Janna,KSante,Qiyana,Sylas,Karthus,Nami
EUW1_7619753453,Jayce,Nocturne,Taliyah,Mel,Nautilus,Malphite,Nidalee,Quinn,Ezreal,Leona
EUW1_7619339525,Rumble,Kayn,Yasuo,Velkoz,Rell,Riven,Sylas,Quinn,Vayne,Alistar
EUW1_7619277421,Olaf,Sylas,Quinn,Anivia,Poppy,Sion,LeeSin,Ahri,Caitlyn,Karma
EUW1_7619231210,Urgot,Fizz,Quinn,MissFortune,Rell,Ambessa,Talon,Annie,Yunara,Leona
EUW1_7618848817,Gwen,Kayn,Akali,Kaisa,Pantheon,Jax,XinZhao,Quinn,Katarina,Renata
EUW1_7618809525,Rumble,Rengar,TwistedFate,Jhin,Karma,Zaahen,MonkeyKing,Quinn,Swain,Nautilus
EUW1_7619523934,KSante,Aatrox,Ziggs,Xayah,Neeko,Renekton,Ekko,Malzahar,Jhin,Bard
EUW1_7619460777,Aatrox,Jayce,Syndra,MissFortune,Blitzcrank,KSante,Malphite,Akali,Yunara,Thresh
EUW1_7618523144,Ambessa,Diana,Talon,Zeri,Janna,Renekton,Viego,Syndra,Sivir,Sylas
EUW1_7617431879,Gangplank,Diana,Syndra,MissFortune,Poppy,Ambessa,Sylas,Akali,Aphelios,Rell
EUW1_7616129539,Kennen,DrMundo,Akali,Smolder,Rakan,Zaahen,Trundle,Mel,MissFortune,Nautilus
EUW1_7611230998,Jayce,Aatrox,Akali,Mel,Rell,Gwen,Nidalee,Yone,Smolder,Alistar
EUW1_7611143789,Gnar,Ambessa,Viktor,Akali,Neeko,Gangplank,Chogath,Syndra,Zeri,Rell
EUW1_7611065465,Zaahen,Jayce,Akali,Smolder,Bard,Aurora,Ambessa,Syndra,Yunara,Leona
EUW1_7607970770,Warwick,Belveth,Azir,KogMaw,Thresh,Renekton,LeeSin,Syndra,Jinx,Lux
EUW1_7606954201,Rumble,Qiyana,Syndra,Jhin,Rakan,Ambessa,Sylas,Jayce,Caitlyn,Zoe
EUW1_7619530620,Zaahen,Malphite,Draven,Kaisa,Bard,Jayce,Sylas,Akali,Jhin,Alistar
EUW1_7616040088,Ornn,Ambessa,Akali,Caitlyn,Alistar,Mordekaiser,Talon,Yasuo,MissFortune,Rell
EUW1_7615990293,Jax,Qiyana,Katarina,Corki,Rakan,Kennen,Ambessa,Irelia,Tristana,Alistar
